ID,Author,Title,Date,Gazette,,,,
1,Emre Kongar,Sumsare: Rüşvet ve hırsızlık üzerine,5.12.2017,Cumhuriyet Newspaper,,,,
3,MEHMED ŞEVKET EYGİ,Haysiyetli ve Vasıflı Müslüman Olmak İçin,5.12.2017,National Newspaper,,,,
4,Güray Öz,‘Vay Peşlerine mi Takıldın!’,6.12.2017,Cumhuriyet Newspaper,,,,
5,Güray Öz,‘Pelikan Yayıncılığı’ İşe Yarar mı?,4.12.2017,Cumhuriyet Newspaper,,,,
6,Güray Öz,Akademi Direniyor,3.12.2017,Cumhuriyet Newspaper,,,,
7,Güray Öz,Gerçeğin Aynasıdır Hayal,1.12.2017,Cumhuriyet Newspaper,,,,
8,Güray Öz,Memleket Meselesi,29.11.2017,Cumhuriyet Newspaper,,,,
9,Güray Öz,Okurlarla Daha Yakın İlişki,27.11.2017,Cumhuriyet Newspaper,,,,
10,Güray Öz,Yalnızca Bir Semt Adıdır,26.11.2017,Cumhuriyet Newspaper,,,,
11,Güray Öz,Şu İktidar Meselesi,24.11.2017,Cumhuriyet Newspaper,,,,
12,Güray Öz,Tehlikeler, Tehditler, Olanaklar,22.11.2017,Cumhuriyet Newspaper,,
13,Güray Öz,Gazetenin, Gazetecinin Dili,20.11.2017,Cumhuriyet Newspaper,,,
14,Özgür Mumcu,Memleketi zayıflatanlar,6.12.2017,Cumhuriyet Newspaper,,,,
15,Özgür Mumcu,Erdoğan aşkı,2.12.2017,Cumhuriyet Newspaper,,,,
16,Özgür Mumcu,Bu milli bir meseledir,30.11.2017,Cumhuriyet Newspaper,,,,
17,Özgür Mumcu,Aile şirketi,29.11.2017,Cumhuriyet Newspaper,,,,
18,Özgür Mumcu,Hep beraber gerilerken,16.11.2017,Cumhuriyet Newspaper,,,,
19,Özgür Mumcu,Bahçeli’nin barajı,15.11.2017,Cumhuriyet Newspaper,,,,
20,Özgür Mumcu,OHAL’de seçim,11.11.2017,Cumhuriyet Newspaper,,,,
21,Özgür Mumcu,Kutlanacak iş,9.11.2017,Cumhuriyet Newspaper,,,,
22,Özgür Mumcu,Diktatöre diktatör denir mi?,2.11.2017,Cumhuriyet Newspaper,,,,
23,Özgür Mumcu,Tehdit iddiası,1.11.2017,Cumhuriyet Newspaper,,,,
24,Tayfun Atay,‘Mevlid-i Nebi’, Noel’e naziredir!,4.12.2017,Cumhuriyet Newspaper,,,
25,Tayfun Atay,AKP, Graham Fuller’e çok şey borçludur,3.12.2017,Cumhuriyet Newspaper,,,
26,Tayfun Atay,Mikroplar Müslüman mı?,29.11.2017,Cumhuriyet Newspaper,,,,
27,Tayfun Atay,Sufilik, Selefilik, IŞİD, Türkiye,27.11.2017,Cumhuriyet Newspaper,
28,Tayfun Atay,En iyi öğretmen, ‘ebediyen öğrenci’ olandır!,26.11.2017,Cumhuriyet Newspaper,,,
29,Tayfun Atay,Hakikat yuvarlandıysa dünya düzdür!,22.11.2017,Cumhuriyet Newspaper,,,,
30,Tayfun Atay,Dini, medyada eğlence mektepte eziyet yaptılar!,20.11.2017,Cumhuriyet Newspaper,,,
31,Tayfun Atay,Kalmasın ellerim sizlerden uzak!,13.11.2017,Cumhuriyet Newspaper,,,,
32,Tayfun Atay,İslam çoktur!,12.11.2017,Cumhuriyet Newspaper,,,,
33,Tayfun Atay,AKP, Atatürk’ü mü keşfediyor?,10.11.2017,Cumhuriyet Newspaper,,,
34,Doğan Hızlan,Sözlüklerin önemi ve işlevi,7.12.2017,Liberty Newspaper,,,,
35,Doğan Hızlan,Oğuz Atay’ı anarken,5.12.2017,Liberty Newspaper,,,,
36,Doğan Hızlan,Üç arkadaş ses ve gönül vermişler,3.12.2017,Liberty Newspaper,,,,
37,Doğan Hızlan,Ömer Seyfettin’i tanıyor musunuz?,2.12.2017,Liberty Newspaper,,,,
38,Doğan Hızlan,Mersin’in edebiyat ödülü Haydar Ergülen’in,1.12.2017,Liberty Newspaper,,,,
39,Doğan Hızlan,Mevlut Akyıldız mutlaka bir Mozart operasının dekorunu çizmeli,30.11.2017,Liberty Newspaper,,,,
40,Doğan Hızlan,Tanburi Necdet Yaşar’ın ardından,28.11.2017,Liberty Newspaper,,,,
41,Doğan Hızlan,Dinlenmesi gereken iki CD,26.11.2017,Liberty Newspaper,,,,
42,Doğan Hızlan,Hayvanlarla sanat buluşunca...,25.11.2017,Liberty Newspaper,,,,
43,Doğan Hızlan,Yeni bir Atatürk albümü,24.11.2017,Liberty Newspaper,,,,
44,Taha Akyol,Kudüs faciası,7.12.2017,Liberty Newspaper,,,,
45,Pınar Öğünç,Bugünün ‘esası’ savunmada,28.7.2017,Cumhuriyet Newspaper,,,,
46,Pınar Öğünç,Hayır rüzgârında 1 Mayıs,2.5.2017,Cumhuriyet Newspaper,,,,
47,Pınar Öğünç,Bir tava bir kepçe,19.4.2017,Cumhuriyet Newspaper,,,,
48,Pınar Öğünç,‘Hayır’a baskı tarihe geçecek,17.4.2017,Cumhuriyet Newspaper,,,,
49,Pınar Öğünç,Kadınlar haykırıyor: Hayat bizim senin mi sandın?,14.4.2017,Cumhuriyet Newspaper,,,,
50,Pınar Öğünç,Hitler'li iki tespit,4.4.2017,Cumhuriyet Newspaper,,,,
51,Pınar Öğünç,Evet ve hayır diye iki seçenek varsa, bu ne?,1.4.2017,Cumhuriyet Newspaper,,,
52,Taha Akyol,Unuttuğumuz kavramlar,6.12.2017,Liberty Newspaper,,,,
53,Pınar Öğünç,Aliyev’den Türkiye’ye başkanlık uyarıları: Yapmaz demeyin her şeyi yaparlar,20.3.2017,Cumhuriyet Newspaper,,,,
54,Taha Akyol,Bu coğrafyada,5.12.2017,Liberty Newspaper,,,,
55,Pınar Öğünç,Paker: Psikososyal dengemiz bozuldu,15.3.2017,Cumhuriyet Newspaper,,,,
56,Taha Akyol,Başka yol yok mu?,4.12.2017,Liberty Newspaper,,,,
57,Taha Akyol,Yargı ne yapar?,2.12.2017,Liberty Newspaper,,,,
58,Taha Akyol,‘İnce sanat’,1.12.2017,Liberty Newspaper,,,,
59,Pınar Öğünç,Ahmet'inki bir tehdit değil sadece durum tespiti,22.2.2017,Cumhuriyet Newspaper,,,,
60,Ceyda Karan,Suudilerin son Yemen oyunu,6.12.2017,Cumhuriyet Newspaper,,,,
61,Ceyda Karan,Zarrab, İran, yaptırımlar,1.12.2017,Cumhuriyet Newspaper,,
62,Ceyda Karan,Ordu-cami arasında binamaz ülke,29.11.2017,Cumhuriyet Newspaper,,,,
63,Ceyda Karan,Zimbabve’de ‘düzeltme’,24.11.2017,Cumhuriyet Newspaper,,,,
64,Ceyda Karan,RusyaGate,22.11.2017,Cumhuriyet Newspaper,,,,
65,Ceyda Karan,Hakikaten ‘dünya ahmak değil’,17.11.2017,Cumhuriyet Newspaper,,,,
66,Ceyda Karan,Suudi reformcunun Yemen kıyımı,15.11.2017,Cumhuriyet Newspaper,,,,
67,Ceyda Karan,Lübnan, Hariri ve aynı kara komedi,10.11.2017,Cumhuriyet Newspaper,,,
68,Ceyda Karan,MbS’nin taht oyunları,8.11.2017,Cumhuriyet Newspaper,,,,
69,Ceyda Karan,Irak’ın Haşdi’si,3.11.2017,Cumhuriyet Newspaper,,,,
70,Taha Akyol,Son sözü hukuk söyler,30.11.2017,Liberty Newspaper,,,,
71,Taha Akyol,‘Beyefendi istiyor’,29.11.2017,Liberty Newspaper,,,,
72,Taha Akyol,Kapıları açmak,28.11.2017,Liberty Newspaper,,,,
73,Taha Akyol,‘İslam adına’,27.11.2017,Liberty Newspaper,,,,
74,Abdulkadir Selvi,Kılıçdaroğlu’nun MİT raporu gerçek mi?,7.12.2017,Liberty Newspaper,,,,
75,Erinç Yeldan,Küresel Tarihçe, 1945-79,6.12.2017,Cumhuriyet Newspaper,,,
76,Erinç Yeldan,Bir ‘Öğretmenler Günü’ daha geride kaldı,29.11.2017,Cumhuriyet Newspaper,,,,
77,Erinç Yeldan,Sınıf gerçeği,22.11.2017,Cumhuriyet Newspaper,,,,
78,Erinç Yeldan,‘Yeni’ IMF,25.10.2017,Cumhuriyet Newspaper,,,,
79,Erinç Yeldan,Borca dayalı spekülatif büyüme,18.10.2017,Cumhuriyet Newspaper,,,,
80,Erinç Yeldan,Küresel ücretli emeğin görünümü,4.10.2017,Cumhuriyet Newspaper,,,,
81,Erinç Yeldan,İklim değişikliğinin sınıfsal boyutu,20.9.2017,Cumhuriyet Newspaper,,,,
82,Erinç Yeldan,Milli gelir hesapları,13.09.2017,Cumhuriyet Newspaper,,,,
83,Erinç Yeldan,Derinden Gelen Kökler...,6.9.2017,Cumhuriyet Newspaper,,,,
84,Erinç Yeldan,İktisada farklı bir giriş,23.8.2017,Cumhuriyet Newspaper,,,,
85,Evin İlyasoğlu,Debussy’nin buğulu müziği,6.12.2017,Cumhuriyet Newspaper,,,,
86,Evin İlyasoğlu,Luzern Piyano Festivali’nden,29.11.2017,Cumhuriyet Newspaper,,,,
87,Evin İlyasoğlu,Verika kanatlanıp uçtu,22.11.2017,Cumhuriyet Newspaper,,,,
88,Evin İlyasoğlu,Ülkemizin aydınlık yüzleri,15.11.2017,Cumhuriyet Newspaper,,,,
89,Evin İlyasoğlu,AKM karanlıktan nasıl kurtulacak?,8.11.2017,Cumhuriyet Newspaper,,,,
90,Evin İlyasoğlu,Musiki birdir ve muazzam bir kubbedir,1.11.2017,Cumhuriyet Newspaper,,,,
91,Evin İlyasoğlu,BİFO yeni mevsime hızlı başladı...,25.10.2017,Cumhuriyet Newspaper,,,,
92,Abdulkadir Selvi,Ebru’yu da al ABD’ye gel,6.12.2017,Liberty Newspaper,,,,
93,Abdulkadir Selvi,FETÖ’nün yeni sistemi nasıl çözüldü,5.12.2017,Liberty Newspaper,,,,
94,Evin İlyasoğlu,Cemal Reşit Rey’e saygı,18.10.2017,Cumhuriyet Newspaper,,,,
95,Evin İlyasoğlu,Leyla Gencer’in izinde,11.10.2017,Cumhuriyet Newspaper,,,,
96,Evin İlyasoğlu,Konserleri nasıl seçersiniz?,20.9.2017,Cumhuriyet Newspaper,,,,
97,Selçuk Erez,Çalıyor ama çalışıyor,7.12.2017,Cumhuriyet Newspaper,,,,
98,Selçuk Erez,Minibüste açık saçık,30.11.2017,Cumhuriyet Newspaper,,,,
99,Selçuk Erez,Rusya ile kuzusarması,23.11.2017,Cumhuriyet Newspaper,,,,
100,Selçuk Erez,Gereğinde Atatürkçü de oluruz!,16.11.2017,Cumhuriyet Newspaper,,,,
101,Abdulkadir Selvi,Zarrab gizemi büyüyor,4.12.2017,Liberty Newspaper,,,,
102,Selçuk Erez,Taş doğuraydım!,9.11.2017,Cumhuriyet Newspaper,,,,
103,Selçuk Erez,Vadikara geliyor,2.11.2017,Cumhuriyet Newspaper,,,,
104,Selçuk Erez,Lahanalarımı görseniz!,26.10.2017,Cumhuriyet Newspaper,,,,
105,Abdulkadir Selvi,Erdoğan-Kılıçdaroğlu kavgası ve Zarrab’a teklif,30.11.2017,Liberty Newspaper,,,,
106,Selçuk Erez,Dünyanın en iyi okulları Türkiye’de,19.10.2017,Cumhuriyet Newspaper,,,,
107,Selçuk Erez,Dünyayı kurtaran madam,12.10.2017,Cumhuriyet Newspaper,,,,
108,Abdulkadir Selvi,Şehidimiz de Zarrab davasına alındı,29.11.2017,Liberty Newspaper,,,,
109,Selçuk Erez,Gemi batıyor Kaptan nerede?,5.10.2017,Cumhuriyet Newspaper,,,,
110,Abdulkadir Selvi,Zarrab’a sorulan ilginç sorular,28.11.2017,Liberty Newspaper,,,,
111,Abdulkadir Selvi,Zarrab ayarlı Cumhurbaşkanlığı hesapları,27.11.2017,Liberty Newspaper,,,,
112,Abdulkadir Selvi,Zarrab operasyonunun ekonomik ve siyasi boyutu,23.11.2017,Liberty Newspaper,,,,
113,Abdulkadir Selvi,AK Parti, MHP ile seçime ortak girecek mi?,16.11.2017,Liberty Newspaper,,,
114,Emre Kongar,Sumsare Ragnok: Kerberos,7.12.2017,Cumhuriyet Newspaper,,,,
115,Deniz Zeyrek,Kudüs, neden şimdi?,7.12.2017,Liberty Newspaper,,,
116,Emre Kongar,Sumsare: Rüşvet ve hırsızlık üzerine,5.12.2017,Cumhuriyet Newspaper,,,,
117,Emre Kongar,Türk devrimi ve demokratik paradigmalar-20/2 Sonuç-2,3.12.2017,Cumhuriyet Newspaper,,,,
118,Emre Kongar,Türk devrimi ve demokratik paradigmalar-20/1 sonuç-1,1.12.2017,Cumhuriyet Newspaper,,,,
119,Deniz Zeyrek,Kılıçdaroğlu’nun ikinci cephesi: Kongreler,4.12.2017,Liberty Newspaper,,,,
120,Emre Kongar,Türk devrimi ve demokrasi: Özet-19,30.11.2017,Cumhuriyet Newspaper,,,,
121,Emre Kongar,Demokrasiye karşı ‘post modern ortaçağ’ çabaları-18,28.11.2017,Cumhuriyet Newspaper,,,,
122,Deniz Zeyrek,İran’a uygulanan ambargo ve Zarrab’ın konumu,2.12.2017,Liberty Newspaper,,,,
123,Emre Kongar,Atatürk’ün devrimciliği - 17,26.11.2017,Cumhuriyet Newspaper,,,,
124,Emre Kongar,Cumhuriyet ve demokrasi-16,24.11.2017,Cumhuriyet Newspaper,,,,
125,Deniz Zeyrek,ABD ve AB o faydayı sunuyor mu?,1.12.2017,Liberty Newspaper,,,,
126,Emre Kongar,Kuramsal tartışmalara bir reklam arası,23.11.2017,Cumhuriyet Newspaper,,,,
127,Deniz Zeyrek,Kılıçdaroğlu’nun çıkışının etki analizi,30.11.2017,Liberty Newspaper,,,,
128,Emre Kongar,Marx, Weber, Marcuse ve Atatürk - 15/2,21.11.2017,Cumhuriyet Newspaper,,
129,Deniz Zeyrek,O fotoğraftaki eksik,28.11.2017,Liberty Newspaper,,,,
130,Deniz Zeyrek,AK Parti MHP çizgisine mi geldi,25.11.2017,Liberty Newspaper,,,,
131,Deniz Zeyrek,İnsan bazen gerçekten hayret ediyor!,24.11.2017,Liberty Newspaper,,,,
132,Deniz Zeyrek,Astana-Soçi hattında ulaşılan hedefler ve çıkmazlar,23.11.2017,Liberty Newspaper,,,,
133,Deniz Zeyrek,‘Hukuk yaşayan bir şey, yolunu bulur’,17.11.2017,Liberty Newspaper,,,
134,Nuray Mert,‘Yeni devlet’,7.8.2017,Cumhuriyet Newspaper,,,,
135,Nuray Mert,Müftü nikâhı ve İslami rejim,4.8.2017,Cumhuriyet Newspaper,,,,
136,Nuray Mert,‘Hans’ın ne dediği’,31.7.2017,Cumhuriyet Newspaper,,,,
137,Nuray Mert,‘Evrim teorisi’,28.7.2017,Cumhuriyet Newspaper,,,,
138,Nuray Mert,Yeni Türkiye’nin tarih yazımı,24.7.2017,Cumhuriyet Newspaper,,,,
139,Nuray Mert,15 Temmuz’un anlamı,17.7.2017,Cumhuriyet Newspaper,,,,
140,Nuray Mert,15 Temmuz,14.7.2017,Cumhuriyet Newspaper,,,,
141,Nuray Mert,Parayla saadet olmaz,10.7.2017,Cumhuriyet Newspaper,,,,
142,Nuray Mert,‘Adalet Yürüyüşü’ ve 15 Temmuz,7.7.2017,Cumhuriyet Newspaper,,,,
143,Nuray Mert,Rıdvan Bey, Katar ve diğerleri,3.7.2017,Cumhuriyet Newspaper,,,
144,Osman Müftüoğlu,N’olur birazcık uyku!,7.12.2017,Liberty Newspaper,,,,
145,Osman Müftüoğlu,Evlilerin bunama riski neden daha az?,6.12.2017,Liberty Newspaper,,,,
146,Osman Müftüoğlu,Diyetler mi başarısız siz mi?,5.12.2017,Liberty Newspaper,,,,
147,Osman Müftüoğlu,Her 10 çocuktan 1’i hasta,4.12.2017,Liberty Newspaper,,,,
148,Osman Müftüoğlu,Keto diyetlere neden karşıyız?,2.12.2017,Liberty Newspaper,,,,
149,Osman Müftüoğlu,Bir kanserojen ve üç mühim soru,1.12.2017,Liberty Newspaper,,,,
150,Osman Müftüoğlu,Yeni bir yıla girerken aralıklı diyet denemeleri,30.11.2017,Liberty Newspaper,,,,
151,Osman Müftüoğlu,Hs-CRP testi neden önemli?,29.11.2017,Liberty Newspaper,,,,
152,Osman Müftüoğlu,KOAH sadece KOAH’tan mı ibaret?,28.11.2017,Liberty Newspaper,,,,
153,Osman Müftüoğlu,Ne kadar uyku lazım,27.11.2017,Liberty Newspaper,,,,
154,Kanat Atkaya,Yeter artık be! Vicdanlı olun biraz,7.12.2017,Liberty Newspaper,,,,
155,Kanat Atkaya,Mutluluktan haber ver ‘Değer Taşı’,5.12.2017,Liberty Newspaper,,,,
156,Kanat Atkaya,Vay Man vay,30.11.2017,Liberty Newspaper,,,,
157,Kanat Atkaya,Sen yaptın olmadı işte beyim,28.11.2017,Liberty Newspaper,,,,
158,Kanat Atkaya,Ucuz mucuz atlatmadan geçiyoruz,23.11.2017,Liberty Newspaper,,,,
159,Kanat Atkaya,Hemen büyü çocuk,21.11.2017,Liberty Newspaper,,,,
160,Kanat Atkaya,3 kahraman kötülüklere karşı,14.11.2017,Liberty Newspaper,,,,
161,Kanat Atkaya,Eşkıya dünyaya hükümdar olmuş,7.11.2017,Liberty Newspaper,,,,
162,Kanat Atkaya,‘İmdat! Yorgunuz, eziliyoruz, ölüyoruz’,2.11.2017,Liberty Newspaper,,
163,Kanat Atkaya,‘Reklamlarda buluşuruz bayram geçer vuruşuruz’,31.10.2017,Liberty Newspaper,,,,
164,Savaş Özbey,Başarılı, mutlu ve güzellerden ne istiyoruz?,8.12.2017,Liberty Newspaper,,,
165,Savaş Özbey,Peşin peşin Altın Kelebek gıybetleri,5.12.2017,Liberty Newspaper,,,,
166,Savaş Özbey,Ünlülerin Japon’u Miyabi,2.12.2017,Liberty Newspaper,,,,
167,Savaş Özbey,İstanbul’un en Heijan’lı yeri: Bağcılar...,1.12.2017,Liberty Newspaper,,,,
168,Savaş Özbey,Gitmek ya da gitmemek işte bütün mesele bu!,17.11.2017,Liberty Newspaper,,,,
169,Savaş Özbey,AKM’yi yıkmak medeniyetimizden ne koparacak?,10.11.2017,Liberty Newspaper,,,,
170,Savaş Özbey,Robot Safiye nasıl kurtulur?,3.11.2017,Liberty Newspaper,,,,
171,Savaş Özbey,En kötü haftanız böyle olsun!,28.10.2017,Liberty Newspaper,,,,
172,Savaş Özbey,Yak bütün fotoğrafları,27.10.2017,Liberty Newspaper,,,,
173,Savaş Özbey,Kafamda deli sorular,20.10.2017,Liberty Newspaper,,,,
174,Nilgün Tekfidan Gümüş,Kudüs kararı niye şimdi?,8.12.2017,Liberty Newspaper,,,,
175,Nilgün Tekfidan Gümüş,Soçi sürecinin şifreleri,24.11.2017,Liberty Newspaper,,,,
176,Nilgün Tekfidan Gümüş,Eğitim sistemi nasıl olmalı,17.11.2017,Liberty Newspaper,,,,
177,Nilgün Tekfidan Gümüş,10 maddede Ortadoğu satrancı,10.11.2017,Liberty Newspaper,,,,
178,Nilgün Tekfidan Gümüş,Suudilerin ‘ılımlı İslam’ açılımı,27.10.2017,Liberty Newspaper,,,,
179,Nilgün Tekfidan Gümüş,Kerkük sonrası riskler,20.10.2017,Liberty Newspaper,,,,
180,Nilgün Tekfidan Gümüş,Yeni Almanya Türkiye’yi nasıl etkiler,29.9.2017,Liberty Newspaper,,,,
181,Nilgün Tekfidan Gümüş,10 maddede Kürt referandumu,22.9.2017,Liberty Newspaper,,,,
182,Nilgün Tekfidan Gümüş,Dış politikada kritik eylül,1.9.2017,Liberty Newspaper,,,,
183,Nilgün Tekfidan Gümüş,Ne olacak şu ABD'nin hali?,18.8.2017,Liberty Newspaper,,,,
184,Onur Baştürk,Sosyal medya üzerinden bir ‘küs’ oyunu,8.12.2017,Liberty Newspaper,,,,
185,Onur Baştürk,Hayat tam filmlik: Ebru Gündeş,4.12.2017,Liberty Newspaper,,,,
186,Onur Baştürk,Nasıl seçtiğin ayakkabı ayağını acıtmamalıysa yaşadığın aşk da öyle!,3.12.2017,Liberty Newspaper,,,,
187,Onur Baştürk,Cumartesi gecesi ateşi,01.12.2017,Liberty Newspaper,,,,
188,Onur Baştürk,Kızlar annelerini mi takip eder,29.11.2017,Liberty Newspaper,,,,
189,Onur Baştürk,Mahkeme emriyle anılarınız silinirse...,27.11.2017,Liberty Newspaper,,,,
190,Onur Baştürk,Herkesin “Delilik!” diyeceği bir şeyi yaptı,26.11.2017,Liberty Newspaper,,,,
191,Onur Baştürk,Instagram hayatları nasıl değiştiriyor,22.11.2017,Liberty Newspaper,,,,
192,Onur Baştürk,Pazar yerinden seçmeler,12.11.2017,Liberty Newspaper,,,,
193,Onur Baştürk,Mutlu muyuz gençler,29.10.2017,Liberty Newspaper,,,,
194,Müge Akgün,Her şeyimi kitaplarıma borçluyum,8.12.2017,Liberty Newspaper,,,,
195,Müge Akgün,Beş yıl geçmiş aradan...,2.12.2017,Liberty Newspaper,,,,
196,Müge Akgün,Kongrelerin en lezzetlisi,25.11.2017,Liberty Newspaper,,,,
197,Müge Akgün,Gastronomi dünyasında gündem yoğun,18.11.2017,Liberty Newspaper,,,,
198,Müge Akgün,Yaylacılık geleneği ve Karayaka koyunu,28.10.2017,Liberty Newspaper,,,,
199,Müge Akgün,Gıda atığı mı gıda israfı mı?,21.10.2017,Liberty Newspaper,,,,
